
============GCS to UAV: Control Commands===========


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***DISTANCE***9.38423384972***0.656785048975***      42951***     42971*** 


============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_001***398***1626158946.643189***COMMAND:HEARTBEAT_MESSAGE***      43042***     43045*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_003***400***1626158946.643576***COMMAND:HEARTBEAT_MESSAGE***      43042***     43046*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_002***399***1626158946.643363***COMMAND:HEARTBEAT_MESSAGE***      43042***     43047*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_000***397***1626158946.642824***COMMAND:HEARTBEAT_MESSAGE***      43042***     43048*** 

============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***62***1626158946.88***SENSOR|***      43205***     43217*** 


============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_001***402***1626158947.144756***COMMAND:HEARTBEAT_MESSAGE***      43382***     43385*** 

>>>>>> Average Network Delay for command packets: 5.500000 MilliSec.

LteSignalStrength= 0.003604 dBm*** LteSINR= 7597269660029.074219 dBm 


============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_003***404***1626158947.145187***COMMAND:HEARTBEAT_MESSAGE***      43382***     43386*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_002***403***1626158947.144994***COMMAND:HEARTBEAT_MESSAGE***      43382***     43387*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_000***401***1626158947.144354***COMMAND:HEARTBEAT_MESSAGE***      43382***     43388*** 

WifiSignalStrength= -74.403909 dBm*** WifiNoise= -93.965985 dBm 

============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***62***1626158947.32***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.3631445,lon=149.1652363,alt=29.95#location.global_frame|LocationGlobal:lat=-35.3631445,lon=149.1652363,alt=613.94#last_heartbeat|0.8511689#battery|Battery:voltage=12.242,current=26.33,level=93#velocity|[3.78, -0.01, 0.04]#attitude|Attitude:pitch=-0.241347491741,yaw=-0.00313210464083,roll=-0.000910961593036#airspeed|3.75999999046#groundspeed|3.75999999046heading|359#***      43489***     43508*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***DISTANCE***12.9909856499***0.645653099635***      43489***     43509*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_003***62***1626158947.34***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.3631443,lon=149.1652355,alt=29.95#location.global_frame|LocationGlobal:lat=-35.3631443,lon=149.1652355,alt=613.94#last_heartbeat|0.8601505#battery|Battery:voltage=12.242,current=26.33,level=93#velocity|[3.8, -0.23, 0.04]#attitude|Attitude:pitch=-0.244529008865,yaw=-0.00583335757256,roll=0.00754448864609#airspeed|3.75#groundspeed|3.75heading|359#***      43501***     43520*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_003***DISTANCE***13.0132495494***0.567729447934***      43501***     43521*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***63***1626158947.39***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.3631444,lon=149.1652364,alt=29.95#location.global_frame|LocationGlobal:lat=-35.3631444,lon=149.1652364,alt=613.94#last_heartbeat|0.9198023#battery|Battery:voltage=12.242,current=26.33,level=93#velocity|[3.79, -0.01, 0.04]#attitude|Attitude:pitch=-0.241266876459,yaw=-0.00315910438076,roll=-0.00166023545898#airspeed|3.75999999046#groundspeed|3.75999999046heading|359#***      43527***     43545*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***DISTANCE***13.0021175993***0.656785048975***      43527***     43546*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***63***1626158947.53***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.3631445,lon=149.1652364,alt=29.95#location.global_frame|LocationGlobal:lat=-35.3631445,lon=149.1652364,alt=613.94#last_heartbeat|0.0502378000001#battery|Battery:voltage=12.242,current=26.33,level=93#velocity|[3.78, -0.01, 0.04]#attitude|Attitude:pitch=-0.241453066468,yaw=-0.00314989872277,roll=-0.00139723985922#airspeed|3.75999999046#groundspeed|3.75999999046heading|359#***      43605***     43617*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***DISTANCE***12.9909856499***0.667916998314***      43605***     43618*** 


============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_001***406***1626158947.646237***COMMAND:HEARTBEAT_MESSAGE***      43681***     43684*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_003***408***1626158947.646862***COMMAND:HEARTBEAT_MESSAGE***      43682***     43685*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_000***405***1626158947.645936***COMMAND:HEARTBEAT_MESSAGE***      43681***     43686*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_002***407***1626158947.646551***COMMAND:HEARTBEAT_MESSAGE***      43681***     43687*** 

============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_003***63***1626158947.92***SENSOR|***      43868***     43887*** 


============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_001***410***1626158948.148213***COMMAND:HEARTBEAT_MESSAGE***      44029***     44032*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_000***409***1626158948.147737***COMMAND:HEARTBEAT_MESSAGE***      44029***     44033*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_002***411***1626158948.148421***COMMAND:HEARTBEAT_MESSAGE***      44029***     44034*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_003***412***1626158948.148617***COMMAND:HEARTBEAT_MESSAGE***      44029***     44035*** 
363,alt=29.95#location.global_frame|LocationGlobal:lat=-35.3631769,lon=149.1652363,alt=613.94#last_heartbeat|3.19000000673e-05#battery|Battery:voltage=12.193,current=26.67,level=93#velocity|[3.66, 0.0, 0.04]#attitude|Attitude:pitch=-0.265748888254,yaw=0.00319499638863,roll=-0.00102074316237#airspeed|3.53999996185#groundspeed|3.53999996185heading|0#*** 

 TELEMETRY Recvd: @@@U_002***DISTANCE***9.38423384972***0.656785048975*** 

>>>>>> X-Value:  9.38423384972  ;  Y-Value:  0.656785048975 <<<<<<

X 	 9.384233 	 Y 	 0.656785

 TELEMETRY Recvd: @@@U_000***62***1626158946.88***SENSOR|*** 

 TELEMETRY Recvd: @@@U_001***62***1626158947.32***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.3631445,lon=149.1652363,alt=29.95#location.global_frame|LocationGlobal:lat=-35.3631445,lon=149.1652363,alt=613.94#last_heartbeat|0.8511689#battery|Battery:voltage=12.242,current=26.33,level=93#velocity|[3.78, -0.01, 0.04]#attitude|Attitude:pitch=-0.241347491741,yaw=-0.00313210464083,roll=-0.000910961593036#airspeed|3.75999999046#groundspeed|3.75999999046heading|359#*** 

 TELEMETRY Recvd: @@@U_001***DISTANCE***12.9909856499***0.645653099635*** 

>>>>>> X-Value:  12.9909856499  ;  Y-Value:  0.645653099635 <<<<<<

X 	 12.990986 	 Y 	 0.645653

 TELEMETRY Recvd: @@@U_003***62***1626158947.34***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.3631443,lon=149.1652355,alt=29.95#location.global_frame|LocationGlobal:lat=-35.3631443,lon=149.1652355,alt=613.94#last_heartbeat|0.8601505#battery|Battery:voltage=12.242,current=26.33,level=93#velocity|[3.8, -0.23, 0.04]#attitude|Attitude:pitch=-0.244529008865,yaw=-0.00583335757256,roll=0.00754448864609#airspeed|3.75#groundspeed|3.75heading|359#*** 

 TELEMETRY Recvd: @@@U_003***DISTANCE***13.0132495494***0.567729447934*** 

>>>>>> X-Value:  13.0132495494  ;  Y-Value:  0.567729447934 <<<<<<

X 	 13.013249 	 Y 	 0.567729

 TELEMETRY Recvd: @@@U_000***63***1626158947.39***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.3631444,lon=149.1652364,alt=29.95#location.global_frame|LocationGlobal:lat=-35.3631444,lon=149.1652364,alt=613.94#last_heartbeat|0.9198023#battery|Battery:voltage=12.242,current=26.33,level=93#velocity|[3.79, -0.01, 0.04]#attitude|Attitude:pitch=-0.241266876459,yaw=-0.00315910438076,roll=-0.00166023545898#airspeed|3.75999999046#groundspeed|3.75999999046heading|359#*** 

 TELEMETRY Recvd: @@@U_000***DISTANCE***13.0021175993***0.656785048975*** 

>>>>>> X-Value:  13.0021175993  ;  Y-Value:  0.656785048975 <<<<<<

X 	 13.002117 	 Y 	 0.656785

 TELEMETRY Recvd: @@@U_002***63***1626158947.53***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.3631445,lon=149.1652364,alt=29.95#location.global_frame|LocationGlobal:lat=-35.3631445,lon=149.1652364,alt=613.94#last_heartbeat|0.0502378000001#battery|Battery:voltage=12.242,current=26.33,level=93#velocity|[3.78, -0.01, 0.04]#attitude|Attitude:pitch=-0.241453066468,yaw=-0.00314989872277,roll=-0.00139723985922#airspeed|3.75999999046#groundspeed|3.75999999046heading|359#*** 

 TELEMETRY Recvd: @@@U_002***DISTANCE***12.9909856499***0.667916998314*** 

>>>>>> X-Value:  12.9909856499  ;  Y-Value:  0.667916998314 <<<<<<

X 	 12.990986 	 Y 	 0.667917

 TELEMETRY Recvd: @@@U_003***63***1626158947.92***SENSOR|*** 

 TELEMETRY Recvd: @@@U_001***63***1626158948.33***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.3631124,lon=149.1652363,alt=29.95#location.global_frame|LocationGlobal:lat=-35.3631124,lon=149.1652363,alt=613.94#last_heartbeat|0.8599371#battery|Battery:voltage=12.242,current=26.17,level=92#velocity|[3.61, -0.01, 0.04]#attitude|Attitude:pitch=-0.199634447694,yaw=0.00126975297462,roll=-0.00153562380001#airspeed|3.64999985695#groundspeed|3.64999985695heading|0#*** 

 TELEMETRY Recvd: @@@U_001***DISTANCE***16.5643415998***0.645653099635*** 

>>>>>> X-Value:  16.5643415998  ;  Y-Value:  0.645653099635 <<<<<<

X 	 16.564342 	 Y 	 0.645653

 TELEMETRY Recvd: @@@U_003***64***1626158948.34***TELEMETRY#location.global_relative_frame|LocationGlobalRelativ
============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***63***1626158948.33***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.3631124,lon=149.1652363,alt=29.95#location.global_frame|LocationGlobal:lat=-35.3631124,lon=149.1652363,alt=613.94#last_heartbeat|0.8599371#battery|Battery:voltage=12.242,current=26.17,level=92#velocity|[3.61, -0.01, 0.04]#attitude|Attitude:pitch=-0.199634447694,yaw=0.00126975297462,roll=-0.00153562380001#airspeed|3.64999985695#groundspeed|3.64999985695heading|0#***      44141***     44160*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***DISTANCE***16.5643415998***0.645653099635***      44141***     44161*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_003***64***1626158948.34***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.3631123,lon=149.1652337,alt=29.95#location.global_frame|LocationGlobal:lat=-35.3631123,lon=149.1652337,alt=613.94#last_heartbeat|0.8649137#battery|Battery:voltage=12.242,current=26.17,level=92#velocity|[3.64, -0.07, 0.04]#attitude|Attitude:pitch=-0.199646651745,yaw=0.00719227688387,roll=-0.00155714841094#airspeed|3.65999984741#groundspeed|3.65999984741heading|0#***      44149***     44168*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_003***DISTANCE***16.5754735499***0.367354347174***      44149***     44169*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***64***1626158948.44***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.3631123,lon=149.1652364,alt=29.95#location.global_frame|LocationGlobal:lat=-35.3631123,lon=149.1652364,alt=613.94#last_heartbeat|0.9635471#battery|Battery:voltage=12.242,current=26.17,level=92#velocity|[3.61, -0.01, 0.04]#attitude|Attitude:pitch=-0.199644893408,yaw=0.00123763468582,roll=-0.00290795019828#airspeed|3.64999985695#groundspeed|3.64999985695heading|0#***      44203***     44215*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***DISTANCE***16.5754735499***0.656785048975***      44203***     44216*** 


============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_002***415***1626158948.558799***COMMAND:GO_FORWARD***      44264***     44267*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_001***414***1626158948.558583***COMMAND:GO_FORWARD***      44264***     44268*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_003***416***1626158948.55901***COMMAND:GO_FORWARD***      44264***     44270*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_000***413***1626158948.558086***COMMAND:GO_FORWARD***      44264***     44271*** 

============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***64***1626158948.56***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.3631047,lon=149.1652364,alt=29.95#location.global_frame|LocationGlobal:lat=-35.3631047,lon=149.1652364,alt=613.94#last_heartbeat|0.0827577#battery|Battery:voltage=12.242,current=26.17,level=92#velocity|[3.52, -0.01, 0.04]#attitude|Attitude:pitch=-0.183078810573,yaw=0.00270021520555,roll=-0.00265497271903#airspeed|3.58999991417#groundspeed|3.58999991417heading|0#***      44263***     44282*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***DISTANCE***17.4215017495***0.667916998314***      44263***     44284*** 


============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_001***418***1626158948.649626***COMMAND:HEARTBEAT_MESSAGE***      44313***     44316*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_003***420***1626158948.649991***COMMAND:HEARTBEAT_MESSAGE***      44313***     44317*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_000***417***1626158948.649257***COMMAND:HEARTBEAT_MESSAGE***      44313***     44318*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_002***419***1626158948.649818***COMMAND:HEARTBEAT_MESSAGE***      44313***     44319*** 

============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***64***1626158948.91***SENSOR|***      44485***     44504*** 


============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_003***424***1626158949.151184***COMMAND:HEARTBEAT_MESSAGE***      44659***     44662*** 

>>>>>> Average Network Delay for command packets: 5.550000 MilliSec.

LteSignalStrength= 0.001095 dBm*** LteSINR= 2309481686427.781738 dBm 


============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_000***421***1626158949.150669***COMMAND:HEARTBEAT_MESSAGE***      44659***     44663*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_002***423***1626158949.151049***COMMAND:HEARTBEAT_MESSAGE***      44659***     44664*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_001***422***1626158949.150932***COMMAND:HEARTBEAT_MESSAGE***      44659***     44665*** 

WifiSignalStrength= -73.778535 dBm*** WifiNoise= -93.965985 dBm 

============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_003***65***1626158949.35***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.3630827,lon=149.165233,alt=29.95#location.global_frame|LocationGlobal:lat=-35.3630827,lon=149.165233,alt=613.94#last_heartbeat|0.8664414#battery|Battery:voltage=12.193,current=26.5,level=92#velocity|[3.49, -0.02, 0.02]#attitude|Attitude:pitch=-0.276356130838,yaw=0.00499283568934,roll=-0.00279363081791#airspeed|3.36999988556#groundspeed|3.36999988556heading|0#***      44785***     44804*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_003***DISTANCE***19.8705307497***0.289430698636***      44785***     44805*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***65***1626158949.37***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363083,lon=149.1652363,alt=29.95#location.global_frame|LocationGlobal:lat=-35.363083,lon=149.1652363,alt=613.94#last_heartbeat|0.8999507#battery|Battery:voltage=12.242,current=26.25,level=92#velocity|[3.36, -0.02, 0.02]#attitude|Attitude:pitch=-0.25847569108,yaw=0.000692412722856,roll=-0.00439342064783#airspeed|3.28999996185#groundspeed|3.28999996185heading|0#***      44801***     44813*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***DISTANCE***19.8371348993***0.645653099635***      44801***     44814*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***65***1626158949.45***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.3630826,lon=149.1652364,alt=29.95#location.global_frame|LocationGlobal:lat=-35.3630826,lon=149.1652364,alt=613.94#last_heartbeat|0.9588384#battery|Battery:voltage=12.193,current=26.5,level=92#velocity|[3.47, -0.03, 0.02]#attitude|Attitude:pitch=-0.275124996901,yaw=0.000693606794812,roll=-0.0046980897896#airspeed|3.36999988556#groundspeed|3.36999988556heading|0#***      44837***     44849*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***DISTANCE***19.8816626998***0.656785048975***      44837***     44850*** 

e:lat=-35.3631123,lon=149.1652337,alt=29.95#location.global_frame|LocationGlobal:lat=-35.3631123,lon=149.1652337,alt=613.94#last_heartbeat|0.8649137#battery|Battery:voltage=12.242,current=26.17,level=92#velocity|[3.64, -0.07, 0.04]#attitude|Attitude:pitch=-0.199646651745,yaw=0.00719227688387,roll=-0.00155714841094#airspeed|3.65999984741#groundspeed|3.65999984741heading|0#*** 

 TELEMETRY Recvd: @@@U_003***DISTANCE***16.5754735499***0.367354347174*** 

>>>>>> X-Value:  16.5754735499  ;  Y-Value:  0.367354347174 <<<<<<

X 	 16.575474 	 Y 	 0.367354

 TELEMETRY Recvd: @@@U_000***64***1626158948.44***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.3631123,lon=149.1652364,alt=29.95#location.global_frame|LocationGlobal:lat=-35.3631123,lon=149.1652364,alt=613.94#last_heartbeat|0.9635471#battery|Battery:voltage=12.242,current=26.17,level=92#velocity|[3.61, -0.01, 0.04]#attitude|Attitude:pitch=-0.199644893408,yaw=0.00123763468582,roll=-0.00290795019828#airspeed|3.64999985695#groundspeed|3.64999985695heading|0#*** 

 TELEMETRY Recvd: @@@U_000***DISTANCE***16.5754735499***0.656785048975*** 

>>>>>> X-Value:  16.5754735499  ;  Y-Value:  0.656785048975 <<<<<<

X 	 16.575474 	 Y 	 0.656785

 TELEMETRY Recvd: @@@U_002***64***1626158948.56***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.3631047,lon=149.1652364,alt=29.95#location.global_frame|LocationGlobal:lat=-35.3631047,lon=149.1652364,alt=613.94#last_heartbeat|0.0827577#battery|Battery:voltage=12.242,current=26.17,level=92#velocity|[3.52, -0.01, 0.04]#attitude|Attitude:pitch=-0.183078810573,yaw=0.00270021520555,roll=-0.00265497271903#airspeed|3.58999991417#groundspeed|3.58999991417heading|0#*** 

 TELEMETRY Recvd: @@@U_002***DISTANCE***17.4215017495***0.667916998314*** 

>>>>>> X-Value:  17.4215017495  ;  Y-Value:  0.667916998314 <<<<<<

X 	 17.421501 	 Y 	 0.667917

 TELEMETRY Recvd: @@@U_001***64***1626158948.91***SENSOR|*** 

 TELEMETRY Recvd: @@@U_003***65***1626158949.35***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.3630827,lon=149.165233,alt=29.95#location.global_frame|LocationGlobal:lat=-35.3630827,lon=149.165233,alt=613.94#last_heartbeat|0.8664414#battery|Battery:voltage=12.193,current=26.5,level=92#velocity|[3.49, -0.02, 0.02]#attitude|Attitude:pitch=-0.276356130838,yaw=0.00499283568934,roll=-0.00279363081791#airspeed|3.36999988556#groundspeed|3.36999988556heading|0#*** 

 TELEMETRY Recvd: @@@U_003***DISTANCE***19.8705307497***0.289430698636*** 

>>>>>> X-Value:  19.8705307497  ;  Y-Value:  0.289430698636 <<<<<<

X 	 19.870531 	 Y 	 0.289431

 TELEMETRY Recvd: @@@U_001***65***1626158949.37***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363083,lon=149.1652363,alt=29.95#location.global_frame|LocationGlobal:lat=-35.363083,lon=149.1652363,alt=613.94#last_heartbeat|0.8999507#battery|Battery:voltage=12.242,current=26.25,level=92#velocity|[3.36, -0.02, 0.02]#attitude|Attitude:pitch=-0.25847569108,yaw=0.000692412722856,roll=-0.00439342064783#airspeed|3.28999996185#groundspeed|3.28999996185heading|0#*** 

 TELEMETRY Recvd: @@@U_001***DISTANCE***19.8371348993***0.645653099635*** 

>>>>>> X-Value:  19.8371348993  ;  Y-Value:  0.645653099635 <<<<<<

X 	 19.837135 	 Y 	 0.645653

 TELEMETRY Recvd: @@@U_000***65***1626158949.45***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.3630826,lon=149.1652364,alt=29.95#location.global_frame|LocationGlobal:lat=-35.3630826,lon=149.1652364,alt=613.94#last_heartbeat|0.9588384#battery|Battery:voltage=12.193,current=26.5,level=92#velocity|[3.47, -0.03, 0.02]#attitude|Attitude:pitch=-0.275124996901,yaw=0.000693606794812,roll=-0.0046980897896#airspeed|3.36999988556#groundspeed|3.36999988556heading|0#*** 

 TELEMETRY Recvd: @@@U_000***DISTANCE***19.8816626998***0.656785048975*** 

>>>>>> X-Value:  19.8816626998  ;  Y-Value:  0.656785048975 <<<<<<

X 	 19.881662 	 Y 	 0.656785

 TELEMETRY Recvd: @@@U_002***65***1626158949.61***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.3630752,lon=149.1652362,alt=29.95
============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***65***1626158949.61***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.3630752,lon=149.1652362,alt=29.95#location.global_frame|LocationGlobal:lat=-35.3630752,lon=149.1652362,alt=613.94#last_heartbeat|0.1252281#battery|Battery:voltage=12.193,current=26.75,level=92#velocity|[3.62, -0.03, 0.02]#attitude|Attitude:pitch=-0.298824250698,yaw=-0.00205861404538,roll=-0.00276102102362#airspeed|3.44999980927#groundspeed|3.44999980927heading|359#***      44933***     44952*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***DISTANCE***20.7054269999***0.645653099635***      44933***     44953*** 


============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_000***425***1626158949.651934***COMMAND:HEARTBEAT_MESSAGE***      44957***     44960*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_003***428***1626158949.652617***COMMAND:HEARTBEAT_MESSAGE***      44957***     44961*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_001***426***1626158949.652286***COMMAND:HEARTBEAT_MESSAGE***      44957***     44962*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_002***427***1626158949.652457***COMMAND:HEARTBEAT_MESSAGE***      44957***     44964*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_000***429***1626158950.153084***COMMAND:HEARTBEAT_MESSAGE***      45304***     45307*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_003***432***1626158950.153698***COMMAND:HEARTBEAT_MESSAGE***      45304***     45308*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_001***430***1626158950.153362***COMMAND:HEARTBEAT_MESSAGE***      45304***     45309*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_002***431***1626158950.153522***COMMAND:HEARTBEAT_MESSAGE***      45304***     45310*** 

============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_003***66***1626158950.39***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.3630502,lon=149.1652325,alt=29.95#location.global_frame|LocationGlobal:lat=-35.3630502,lon=149.1652325,alt=613.94#last_heartbeat|0.9072869#battery|Battery:voltage=12.193,current=27.0,level=92#velocity|[4.14, -0.01, 0.03]#attitude|Attitude:pitch=-0.323864638805,yaw=-0.00307702017017,roll=0.00338248326443#airspeed|3.8599998951#groundspeed|3.8599998951heading|359#***      45455***     45474*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_003***DISTANCE***23.4884144992***0.233770948777***      45455***     45475*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***66***1626158950.42***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.3630515,lon=149.165236,alt=29.95#location.global_frame|LocationGlobal:lat=-35.3630515,lon=149.165236,alt=613.94#last_heartbeat|0.951866#battery|Battery:voltage=12.193,current=26.92,level=92#velocity|[4.01, -0.03, 0.03]#attitude|Attitude:pitch=-0.31988966465,yaw=-0.00768269365653,roll=0.00349445617758#airspeed|3.73000001907#groundspeed|3.73000001907heading|359#***      45474***     45488*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***DISTANCE***23.3436991499***0.612257248454***      45474***     45489*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***66***1626158950.45***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.3630501,lon=149.1652361,alt=29.95#location.global_frame|LocationGlobal:lat=-35.3630501,lon=149.1652361,alt=613.94#last_heartbeat|0.9641167#battery|Battery:voltage=12.193,current=27.0,level=92#velocity|[4.12, -0.03, 0.03]#attitude|Attitude:pitch=-0.32305714488,yaw=-0.0074880332686,roll=0.0029164920561#airspeed|3.84999990463#groundspeed|3.84999990463heading|359#***      45487***     45507*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***DISTANCE***23.4995464494***0.623389197793***      45487***     45509*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***66***1626158950.64***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.3630412,lon=149.165236,alt=29.95#location.global_frame|LocationGlobal:lat=-35.3630412,lon=149.165236,alt=613.94#last_heartbeat|0.1506453#battery|Battery:voltage=12.193,current=27.17,level=92#velocity|[4.26, -0.03, 0.04]#attitude|Attitude:pitch=-0.319114714861,yaw=-0.00537031656131,roll=0.00250351219438#airspeed|4.11999988556#groundspeed|4.11999988556heading|359#***      45599***     45611*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***DISTANCE***24.4902899999***0.623389197793***      45599***     45612*** 


============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_002***435***1626158950.654995***COMMAND:HEARTBEAT_MESSAGE***      45609***     45612*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_003***436***1626158950.655133***COMMAND:HEARTBEAT_MESSAGE***      45609***     45613*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_001***434***1626158950.654796***COMMAND:HEARTBEAT_MESSAGE***      45609***     45614*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_000***433***1626158950.654459***COMMAND:HEARTBEAT_MESSAGE***      45609***     45615*** 

============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***67***1626158950.9***SENSOR|***      45767***     45779*** 


============GCS to UAV: Control Commands===========
